timestamp,court_id,sport,district,day_of_week,hour,is_weekend,is_holiday,weather,price,n_courts,bookings,lead_time_days,is_repeat_customer,status
2026-02-10 11:00:00,bbc-01,Badminton,Sukhumvit,1,11,False,False,rainy,450,4,1,2,True,no_show
2026-02-10 12:00:00,bbc-01,Badminton,Sukhumvit,1,12,False,False,rainy,450,4,1,6,True,completed
2026-02-10 13:00:00,bbc-01,Badminton,Sukhumvit,1,13,False,False,rainy,450,4,1,23,True,completed
2026-02-10 14:00:00,bbc-01,Badminton,Sukhumvit,1,14,False,False,rainy,450,4,1,29,False,cancelled
2026-02-10 15:00:00,bbc-01,Badminton,Sukhumvit,1,15,False,False,rainy,450,4,2,23,False,no_show
2026-02-10 15:00:00,bbc-01,Badminton,Sukhumvit,1,15,False,False,rainy,450,4,2,5,True,completed
2026-02-10 16:00:00,bbc-01,Badminton,Sukhumvit,1,16,False,False,rainy,450,4,1,4,True,completed
2026-02-10 17:00:00,bbc-01,Badminton,Sukhumvit,1,17,False,False,rainy,450,4,4,13,True,completed
2026-02-10 17:00:00,bbc-01,Badminton,Sukhumvit,1,17,False,False,rainy,450,4,4,16,True,completed
2026-02-10 17:00:00,bbc-01,Badminton,Sukhumvit,1,17,False,False,rainy,450,4,4,23,False,no_show
2026-02-10 17:00:00,bbc-01,Badminton,Sukhumvit,1,17,False,False,rainy,450,4,4,12,False,completed
2026-02-10 18:00:00,bbc-01,Badminton,Sukhumvit,1,18,False,False,rainy,650,4,4,5,True,no_show
2026-02-10 18:00:00,bbc-01,Badminton,Sukhumvit,1,18,False,False,rainy,650,4,4,29,True,completed
2026-02-10 18:00:00,bbc-01,Badminton,Sukhumvit,1,18,False,False,rainy,650,4,4,27,False,completed
2026-02-10 18:00:00,bbc-01,Badminton,Sukhumvit,1,18,False,False,rainy,650,4,4,19,True,no_show
2026-02-10 19:00:00,bbc-01,Badminton,Sukhumvit,1,19,False,False,rainy,650,4,2,20,True,no_show
2026-02-10 19:00:00,bbc-01,Badminton,Sukhumvit,1,19,False,False,rainy,650,4,2,28,False,no_show
2026-02-10 20:00:00,bbc-01,Badminton,Sukhumvit,1,20,False,False,rainy,650,4,2,14,False,completed
2026-02-10 20:00:00,bbc-01,Badminton,Sukhumvit,1,20,False,False,rainy,650,4,2,4,True,no_show
2026-02-10 21:00:00,bbc-01,Badminton,Sukhumvit,1,21,False,False,rainy,650,4,3,18,True,completed
2026-02-10 21:00:00,bbc-01,Badminton,Sukhumvit,1,21,False,False,rainy,650,4,3,13,True,completed
2026-02-10 21:00:00,bbc-01,Badminton,Sukhumvit,1,21,False,False,rainy,650,4,3,23,False,completed
2026-02-10 22:00:00,bbc-01,Badminton,Sukhumvit,1,22,False,False,rainy,450,4,3,23,True,no_show
2026-02-10 22:00:00,bbc-01,Badminton,Sukhumvit,1,22,False,False,rainy,450,4,3,14,True,completed
2026-02-10 22:00:00,bbc-01,Badminton,Sukhumvit,1,22,False,False,rainy,450,4,3,11,True,completed
2026-02-11 08:00:00,bbc-01,Badminton,Sukhumvit,2,8,False,False,cloudy,450,4,2,12,False,completed
2026-02-11 08:00:00,bbc-01,Badminton,Sukhumvit,2,8,False,False,cloudy,450,4,2,18,False,completed
2026-02-11 09:00:00,bbc-01,Badminton,Sukhumvit,2,9,False,False,cloudy,450,4,1,19,True,completed
2026-02-11 10:00:00,bbc-01,Badminton,Sukhumvit,2,10,False,False,cloudy,450,4,1,15,False,completed
2026-02-11 11:00:00,bbc-01,Badminton,Sukhumvit,2,11,False,False,cloudy,450,4,1,15,False,completed
2026-02-11 12:00:00,bbc-01,Badminton,Sukhumvit,2,12,False,False,cloudy,450,4,1,29,True,completed
2026-02-11 14:00:00,bbc-01,Badminton,Sukhumvit,2,14,False,False,cloudy,450,4,3,7,False,completed
2026-02-11 14:00:00,bbc-01,Badminton,Sukhumvit,2,14,False,False,cloudy,450,4,3,5,True,no_show
2026-02-11 14:00:00,bbc-01,Badminton,Sukhumvit,2,14,False,False,cloudy,450,4,3,23,True,no_show
2026-02-11 15:00:00,bbc-01,Badminton,Sukhumvit,2,15,False,False,cloudy,450,4,1,28,True,completed
2026-02-11 16:00:00,bbc-01,Badminton,Sukhumvit,2,16,False,False,cloudy,450,4,1,18,False,completed
